Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_JAELTO010000011.1	43585	44865		plus	HDOD domain-containing protein			protein-coding			WP_198969485.1	HDOD domain-containing protein	426	JHD63_RS04235
NZ_JAELTO010000011.1	44990	45985		minus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198969486.1	tripartite tricarboxylate transporter substrate binding protein	331	JHD63_RS04240
NZ_JAELTO010000011.1	46151	47050		minus	site-specific tyrosine recombinase XerD	xerD		protein-coding			WP_198969488.1	site-specific tyrosine recombinase XerD	299	JHD63_RS04245
NZ_JAELTO010000011.1	47129	48091		minus	tripartite tricarboxylate transporter substrate binding protein BugE			protein-coding			WP_198969490.1	tripartite tricarboxylate transporter substrate binding protein BugE	320	JHD63_RS04250
NZ_JAELTO010000011.1	48245	49165		plus	AEC family transporter			protein-coding			WP_233167601.1	AEC family transporter	306	JHD63_RS04255
NZ_JAELTO010000011.1	49214	50287		minus	tRNA epoxyqueuosine(34) reductase QueG	queG		protein-coding			WP_198969493.1	tRNA epoxyqueuosine(34) reductase QueG	357	JHD63_RS04260
NZ_JAELTO010000011.1	50270	50797		plus	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE		protein-coding			WP_198969506.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	175	JHD63_RS04265
NZ_JAELTO010000011.1	50794	52197		plus	N-acetylmuramoyl-L-alanine amidase			protein-coding			WP_198969496.1	N-acetylmuramoyl-L-alanine amidase	467	JHD63_RS04270
NZ_JAELTO010000011.1	52308	52520		plus	glycine zipper 2TM domain-containing protein			protein-coding			WP_198969497.1	glycine zipper 2TM domain-containing protein	70	JHD63_RS04275
NZ_JAELTO010000011.1	52574	53224		minus	DedA family protein			protein-coding			WP_198969499.1	DedA family protein	216	JHD63_RS04280
NZ_JAELTO010000011.1	53301	55142		plus	uncharacterized gene	mutL		pseudogene						JHD63_RS04285
NZ_JAELTO010000011.1	55298	56644		plus	NADP-specific glutamate dehydrogenase	gdhA		protein-coding			WP_198969501.1	NADP-specific glutamate dehydrogenase	448	JHD63_RS04290
NZ_JAELTO010000011.1	56755	57696		plus	alpha/beta fold hydrolase			protein-coding			WP_198969502.1	alpha/beta fold hydrolase	313	JHD63_RS04295
NZ_JAELTO010000011.1	57729	58372		plus	uncharacterized gene			pseudogene						JHD63_RS04300
NZ_JAELTO010000012.1	1	742		plus	IS3 family transposase			protein-coding			WP_198969508.1	IS3 family transposase	246	JHD63_RS04305
NZ_JAELTO010000012.1	1473	2699		minus	hypothetical protein			protein-coding			WP_198969510.1	hypothetical protein	408	JHD63_RS04310
NZ_JAELTO010000012.1	3017	3106		plus	tRNA-Ser			tRNA						JHD63_RS04315
NZ_JAELTO010000012.1	3620	5005		plus	sensor domain-containing diguanylate cyclase			protein-coding			WP_198969511.1	sensor domain-containing diguanylate cyclase	461	JHD63_RS04320
NZ_JAELTO010000012.1	5043	5810		minus	ATP-binding cassette domain-containing protein			protein-coding			WP_233167605.1	ATP-binding cassette domain-containing protein	255	JHD63_RS04325
NZ_JAELTO010000012.1	5844	6593		minus	molybdate ABC transporter substrate-binding protein	modA		protein-coding			WP_198969513.1	molybdate ABC transporter substrate-binding protein	249	JHD63_RS04330
NZ_JAELTO010000012.1	6611	7288		minus	molybdate ABC transporter permease subunit	modB		protein-coding			WP_198969514.1	molybdate ABC transporter permease subunit	225	JHD63_RS04335
NZ_JAELTO010000012.1	7403	7750		minus	LysR family transcriptional regulator			protein-coding			WP_198969515.1	LysR family transcriptional regulator	115	JHD63_RS04340
NZ_JAELTO010000012.1	7985	8977		minus	2-dehydropantoate 2-reductase			protein-coding			WP_198969516.1	2-dehydropantoate 2-reductase	330	JHD63_RS04345
NZ_JAELTO010000012.1	9429	10610		minus	methionine adenosyltransferase	metK		protein-coding			WP_198969517.1	methionine adenosyltransferase	393	JHD63_RS04350
NZ_JAELTO010000012.1	10766	11611		plus	lysophospholipid acyltransferase family protein			protein-coding			WP_198969518.1	lysophospholipid acyltransferase family protein	281	JHD63_RS04355
NZ_JAELTO010000012.1	11608	12474		plus	lysophospholipid acyltransferase family protein			protein-coding			WP_198969519.1	lysophospholipid acyltransferase family protein	288	JHD63_RS04360
NZ_JAELTO010000012.1	12511	13458		minus	alpha/beta fold hydrolase			protein-coding			WP_198969520.1	alpha/beta fold hydrolase	315	JHD63_RS04365
NZ_JAELTO010000012.1	13505	14182		minus	ribosome biogenesis GTP-binding protein YihA/YsxC	yihA		protein-coding			WP_198969559.1	ribosome biogenesis GTP-binding protein YihA/YsxC	225	JHD63_RS04370
NZ_JAELTO010000012.1	14338	14979		plus	c-type cytochrome			protein-coding			WP_198969521.1	c-type cytochrome	213	JHD63_RS04375
NZ_JAELTO010000012.1	15105	17255		plus	cytochrome c biogenesis protein ResB			protein-coding			WP_198969522.1	cytochrome c biogenesis protein ResB	716	JHD63_RS04380
NZ_JAELTO010000012.1	17282	18625		plus	c-type cytochrome biogenesis protein CcsB	ccsB		protein-coding			WP_198969523.1	c-type cytochrome biogenesis protein CcsB	447	JHD63_RS04385
NZ_JAELTO010000012.1	18733	19731		plus	protein-methionine-sulfoxide reductase catalytic subunit MsrP	msrP		protein-coding			WP_198969524.1	protein-methionine-sulfoxide reductase catalytic subunit MsrP	332	JHD63_RS04390
NZ_JAELTO010000012.1	19753	20397		plus	protein-methionine-sulfoxide reductase heme-binding subunit MsrQ			protein-coding			WP_198969525.1	protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	214	JHD63_RS04395
NZ_JAELTO010000012.1	20494	21321		minus	MBL fold metallo-hydrolase			protein-coding			WP_198969526.1	MBL fold metallo-hydrolase	275	JHD63_RS04400
NZ_JAELTO010000012.1	21433	21720		minus	lipoprotein			protein-coding			WP_198969527.1	lipoprotein	95	JHD63_RS04405
NZ_JAELTO010000012.1	21732	22055		plus	iron donor protein CyaY	cyaY		protein-coding			WP_198969528.1	iron donor protein CyaY	107	JHD63_RS04410
NZ_JAELTO010000012.1	22179	24521		minus	penicillin-binding protein 1A			protein-coding			WP_233167607.1	penicillin-binding protein 1A	780	JHD63_RS04415
NZ_JAELTO010000012.1	24816	25895		plus	pilus assembly protein PilM			protein-coding			WP_198969530.1	pilus assembly protein PilM	359	JHD63_RS04420
NZ_JAELTO010000012.1	25907	26509		plus	PilN domain-containing protein			protein-coding			WP_233167609.1	PilN domain-containing protein	200	JHD63_RS04425
NZ_JAELTO010000012.1	26518	27195		plus	type 4a pilus biogenesis protein PilO			protein-coding			WP_198969532.1	type 4a pilus biogenesis protein PilO	225	JHD63_RS04430
NZ_JAELTO010000012.1	27192	27734		plus	pilus assembly protein PilP			protein-coding			WP_198969533.1	pilus assembly protein PilP	180	JHD63_RS04435
NZ_JAELTO010000012.1	27734	29914		plus	type IV pilus secretin family protein	pilQ		protein-coding			WP_198969534.1	type IV pilus secretin family protein	726	JHD63_RS04440
NZ_JAELTO010000012.1	29962	31812		plus	Ig-like domain-containing protein			protein-coding			WP_198969535.1	Ig-like domain-containing protein	616	JHD63_RS04445
NZ_JAELTO010000012.1	31824	32363		plus	shikimate kinase			protein-coding			WP_233167611.1	shikimate kinase	179	JHD63_RS04450
NZ_JAELTO010000012.1	32461	33609		plus	3-dehydroquinate synthase	aroB		protein-coding			WP_198969537.1	3-dehydroquinate synthase	382	JHD63_RS04455
NZ_JAELTO010000012.1	33658	34869		plus	deoxyguanosinetriphosphate triphosphohydrolase			protein-coding			WP_198969538.1	deoxyguanosinetriphosphate triphosphohydrolase	403	JHD63_RS04460
NZ_JAELTO010000012.1	34908	36065		plus	MFS transporter			protein-coding			WP_233167613.1	MFS transporter	385	JHD63_RS04465
NZ_JAELTO010000012.1	36067	36666		plus	DUF1415 domain-containing protein			protein-coding			WP_233167614.1	DUF1415 domain-containing protein	199	JHD63_RS04470
NZ_JAELTO010000012.1	36708	37526		plus	SAM-dependent methyltransferase			protein-coding			WP_233167616.1	SAM-dependent methyltransferase	272	JHD63_RS04475
NZ_JAELTO010000012.1	37540	38250		plus	transposase			protein-coding			WP_198969541.1	transposase	236	JHD63_RS04480
NZ_JAELTO010000012.1	38439	43178		plus	glutamate synthase-related protein			protein-coding			WP_198969561.1	glutamate synthase-related protein	1579	JHD63_RS04485
NZ_JAELTO010000012.1	43217	44695		plus	glutamate synthase subunit beta			protein-coding			WP_198969542.1	glutamate synthase subunit beta	492	JHD63_RS04490
NZ_JAELTO010000012.1	44949	45791		plus	ABC transporter ATP-binding protein			protein-coding			WP_198969543.1	ABC transporter ATP-binding protein	280	JHD63_RS04495
NZ_JAELTO010000012.1	45788	46576		plus	lipid asymmetry maintenance ABC transporter permease subunit MlaE	mlaE		protein-coding			WP_198969544.1	lipid asymmetry maintenance ABC transporter permease subunit MlaE	262	JHD63_RS04500
NZ_JAELTO010000012.1	46587	47084		plus	outer membrane lipid asymmetry maintenance protein MlaD	mlaD		protein-coding			WP_198969545.1	outer membrane lipid asymmetry maintenance protein MlaD	165	JHD63_RS04505
NZ_JAELTO010000012.1	47081	47866		plus	VacJ family lipoprotein			protein-coding			WP_198969546.1	VacJ family lipoprotein	261	JHD63_RS04510
NZ_JAELTO010000012.1	48003	48641		plus	ABC transporter substrate-binding protein			protein-coding			WP_198969547.1	ABC transporter substrate-binding protein	212	JHD63_RS04515
NZ_JAELTO010000012.1	48719	48985		plus	STAS domain-containing protein			protein-coding			WP_255519250.1	STAS domain-containing protein	88	JHD63_RS23890
NZ_JAELTO010000012.1	49035	49976		plus	ABC transporter ATP-binding protein			protein-coding			WP_198969549.1	ABC transporter ATP-binding protein	313	JHD63_RS04525
NZ_JAELTO010000012.1	49987	50745		plus	ABC transporter permease			protein-coding			WP_198969550.1	ABC transporter permease	252	JHD63_RS04530
NZ_JAELTO010000012.1	50865	51110		plus	BolA family protein			protein-coding			WP_198969551.1	BolA family protein	81	JHD63_RS04535
NZ_JAELTO010000012.1	51114	52379		plus	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA		protein-coding			WP_198969552.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	421	JHD63_RS04540
NZ_JAELTO010000012.1	52391	53038		plus	ATP phosphoribosyltransferase	hisG		protein-coding			WP_233167620.1	ATP phosphoribosyltransferase	215	JHD63_RS04545
NZ_JAELTO010000012.1	53044	54387		plus	histidinol dehydrogenase	hisD		protein-coding			WP_198969554.1	histidinol dehydrogenase	447	JHD63_RS04550
NZ_JAELTO010000012.1	54450	55604		plus	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			protein-coding			WP_198969555.1	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	384	JHD63_RS04555
NZ_JAELTO010000012.1	55601	56218		plus	imidazoleglycerol-phosphate dehydratase HisB	hisB		protein-coding			WP_198969556.1	imidazoleglycerol-phosphate dehydratase HisB	205	JHD63_RS04560
NZ_JAELTO010000012.1	56273	56941		plus	imidazole glycerol phosphate synthase subunit HisH	hisH		protein-coding			WP_198969557.1	imidazole glycerol phosphate synthase subunit HisH	222	JHD63_RS04565
NZ_JAELTO010000012.1	56994	57731		plus	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	hisA		protein-coding			WP_198969558.1	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	245	JHD63_RS04570
NZ_JAELTO010000013.1	1	1471		minus	uncharacterized gene			pseudogene						JHD63_RS04575
NZ_JAELTO010000013.1	1562	2029		minus	GatB/YqeY domain-containing protein			protein-coding			WP_198969563.1	GatB/YqeY domain-containing protein	155	JHD63_RS04580
NZ_JAELTO010000013.1	2139	2351		minus	30S ribosomal protein S21	rpsU		protein-coding			WP_007833691.1	30S ribosomal protein S21	70	JHD63_RS04585
NZ_JAELTO010000013.1	2524	3783		minus	NAD(P)/FAD-dependent oxidoreductase			protein-coding			WP_233167623.1	NAD(P)/FAD-dependent oxidoreductase	419	JHD63_RS04590
NZ_JAELTO010000013.1	3896	4699		minus	uroporphyrinogen-III C-methyltransferase	cobA		protein-coding			WP_198969565.1	uroporphyrinogen-III C-methyltransferase	267	JHD63_RS04595
NZ_JAELTO010000013.1	4721	5653		minus	DNA-binding protein YbiB	ybiB		protein-coding			WP_198969566.1	DNA-binding protein YbiB	310	JHD63_RS04600
NZ_JAELTO010000013.1	5720	8542		minus	nitrate reductase			protein-coding			WP_198969567.1	nitrate reductase	940	JHD63_RS04605
NZ_JAELTO010000013.1	8922	9311		minus	nitrite reductase small subunit NirD	nirD		protein-coding			WP_198969568.1	nitrite reductase small subunit NirD	129	JHD63_RS04610
NZ_JAELTO010000013.1	9322	11787		minus	nitrite reductase large subunit NirB	nirB		protein-coding			WP_233167625.1	nitrite reductase large subunit NirB	821	JHD63_RS04615
NZ_JAELTO010000013.1	12042	12944		minus	pyridoxal kinase PdxY	pdxY		protein-coding			WP_198969569.1	pyridoxal kinase PdxY	300	JHD63_RS04620
NZ_JAELTO010000013.1	13081	13893		minus	ABC transporter ATP-binding protein			protein-coding			WP_198969570.1	ABC transporter ATP-binding protein	270	JHD63_RS04625
NZ_JAELTO010000013.1	13890	14822		minus	nitrate ABC transporter permease	ntrB		protein-coding			WP_198969571.1	nitrate ABC transporter permease	310	JHD63_RS04630
NZ_JAELTO010000013.1	14832	16022		minus	CmpA/NrtA family ABC transporter substrate-binding protein			protein-coding			WP_233167635.1	CmpA/NrtA family ABC transporter substrate-binding protein	396	JHD63_RS04635
NZ_JAELTO010000013.1	16384	17637		minus	nitrate regulatory protein			protein-coding			WP_198969573.1	nitrate regulatory protein	417	JHD63_RS04640
NZ_JAELTO010000013.1	17692	18729		plus	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	tsaD		protein-coding			WP_198969574.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	345	JHD63_RS04645
NZ_JAELTO010000013.1	18742	20034		plus	branched-chain amino acid ABC transporter substrate-binding protein			protein-coding			WP_198969575.1	branched-chain amino acid ABC transporter substrate-binding protein	430	JHD63_RS04650
NZ_JAELTO010000013.1	20053	20334		minus	hypothetical protein			protein-coding			WP_233167627.1	hypothetical protein	93	JHD63_RS04655
NZ_JAELTO010000013.1	20467	20733		plus	30S ribosomal protein S15	rpsO		protein-coding			WP_198969576.1	30S ribosomal protein S15	88	JHD63_RS04660
NZ_JAELTO010000013.1	20934	23093		plus	polyribonucleotide nucleotidyltransferase	pnp		protein-coding			WP_198969577.1	polyribonucleotide nucleotidyltransferase	719	JHD63_RS04665
NZ_JAELTO010000013.1	23194	24180		plus	NAD(P)H-quinone oxidoreductase			protein-coding			WP_198969578.1	NAD(P)H-quinone oxidoreductase	328	JHD63_RS04670
NZ_JAELTO010000013.1	24218	24964		plus	triose-phosphate isomerase	tpiA		protein-coding			WP_198969579.1	triose-phosphate isomerase	248	JHD63_RS04675
NZ_JAELTO010000013.1	25001	25423		plus	preprotein translocase subunit SecG	secG		protein-coding			WP_198969580.1	preprotein translocase subunit SecG	140	JHD63_RS04680
NZ_JAELTO010000013.1	25572	25656		plus	tRNA-Leu			tRNA						JHD63_RS04685
NZ_JAELTO010000013.1	25715	26074		plus	NADH-quinone oxidoreductase subunit A			protein-coding			WP_198969581.1	NADH-quinone oxidoreductase subunit A	119	JHD63_RS04690
NZ_JAELTO010000013.1	26099	26581		plus	NADH-quinone oxidoreductase subunit B			protein-coding			WP_198969582.1	NADH-quinone oxidoreductase subunit B	160	JHD63_RS04695
NZ_JAELTO010000013.1	26593	27210		plus	NADH-quinone oxidoreductase subunit C			protein-coding			WP_198969583.1	NADH-quinone oxidoreductase subunit C	205	JHD63_RS04700
NZ_JAELTO010000013.1	27234	28487		plus	NADH-quinone oxidoreductase subunit D			protein-coding			WP_198969584.1	NADH-quinone oxidoreductase subunit D	417	JHD63_RS04705
NZ_JAELTO010000013.1	28484	28987		plus	NADH-quinone oxidoreductase subunit NuoE	nuoE		protein-coding			WP_198969585.1	NADH-quinone oxidoreductase subunit NuoE	167	JHD63_RS04710
NZ_JAELTO010000013.1	28987	30342		plus	NADH-quinone oxidoreductase subunit NuoF	nuoF		protein-coding			WP_233167629.1	NADH-quinone oxidoreductase subunit NuoF	451	JHD63_RS04715
NZ_JAELTO010000013.1	30359	32509		plus	NADH-quinone oxidoreductase subunit NuoG	nuoG		protein-coding			WP_198969587.1	NADH-quinone oxidoreductase subunit NuoG	716	JHD63_RS04720
NZ_JAELTO010000013.1	32506	33582		plus	NADH-quinone oxidoreductase subunit NuoH	nuoH		protein-coding			WP_198969588.1	NADH-quinone oxidoreductase subunit NuoH	358	JHD63_RS04725
NZ_JAELTO010000013.1	33596	34105		plus	NADH-quinone oxidoreductase subunit NuoI	nuoI		protein-coding			WP_233167631.1	NADH-quinone oxidoreductase subunit NuoI	169	JHD63_RS04730
NZ_JAELTO010000013.1	34133	34789		plus	NADH-quinone oxidoreductase subunit J			protein-coding			WP_198969590.1	NADH-quinone oxidoreductase subunit J	218	JHD63_RS04735
NZ_JAELTO010000013.1	34786	35094		plus	NADH-quinone oxidoreductase subunit NuoK	nuoK		protein-coding			WP_198969591.1	NADH-quinone oxidoreductase subunit NuoK	102	JHD63_RS04740
NZ_JAELTO010000013.1	35122	37164		plus	NADH-quinone oxidoreductase subunit L	nuoL		protein-coding			WP_198969592.1	NADH-quinone oxidoreductase subunit L	680	JHD63_RS04745
NZ_JAELTO010000013.1	37183	38658		plus	NADH-quinone oxidoreductase subunit M			protein-coding			WP_198969593.1	NADH-quinone oxidoreductase subunit M	491	JHD63_RS04750
NZ_JAELTO010000013.1	38683	40167		plus	NADH-quinone oxidoreductase subunit NuoN	nuoN		protein-coding			WP_198969594.1	NADH-quinone oxidoreductase subunit NuoN	494	JHD63_RS04755
NZ_JAELTO010000013.1	40198	40503		plus	DUF2818 family protein			protein-coding			WP_198969595.1	DUF2818 family protein	101	JHD63_RS04760
NZ_JAELTO010000013.1	40523	41116		plus	NUDIX hydrolase			protein-coding			WP_198969596.1	NUDIX hydrolase	197	JHD63_RS04765
NZ_JAELTO010000013.1	41113	41610		plus	DUF1178 family protein			protein-coding			WP_198969597.1	DUF1178 family protein	165	JHD63_RS04770
NZ_JAELTO010000013.1	41607	41789		plus	hypothetical protein			protein-coding			WP_198969598.1	hypothetical protein	60	JHD63_RS04775
NZ_JAELTO010000013.1	41863	43794		minus	sensor histidine kinase			protein-coding			WP_233167633.1	sensor histidine kinase	643	JHD63_RS04780
NZ_JAELTO010000013.1	43766	44422		minus	response regulator transcription factor			protein-coding			WP_198969610.1	response regulator transcription factor	218	JHD63_RS04785
NZ_JAELTO010000013.1	44757	47096		plus	IPTL-CTERM sorting domain-containing protein			protein-coding			WP_198969599.1	IPTL-CTERM sorting domain-containing protein	779	JHD63_RS04790
NZ_JAELTO010000013.1	47114	48910		minus	ABC transporter transmembrane domain-containing protein			protein-coding			WP_233167637.1	ABC transporter transmembrane domain-containing protein	598	JHD63_RS04795
NZ_JAELTO010000013.1	48992	50857		minus	glutamine--tRNA ligase/YqeY domain fusion protein			protein-coding			WP_198969601.1	glutamine--tRNA ligase/YqeY domain fusion protein	621	JHD63_RS04800
NZ_JAELTO010000013.1	51103	51450		plus	hypothetical protein			protein-coding			WP_198969602.1	hypothetical protein	115	JHD63_RS04805
NZ_JAELTO010000013.1	52026	52178		minus	uncharacterized gene			pseudogene						JHD63_RS04810
NZ_JAELTO010000013.1	52395	53603		plus	lyase family protein			protein-coding			WP_198969603.1	lyase family protein	402	JHD63_RS04815
NZ_JAELTO010000013.1	53638	54006		plus	carboxymuconolactone decarboxylase family protein			protein-coding			WP_198969612.1	carboxymuconolactone decarboxylase family protein	122	JHD63_RS04820
NZ_JAELTO010000013.1	54003	54767		plus	3-oxoadipate enol-lactonase	pcaD		protein-coding			WP_198969604.1	3-oxoadipate enol-lactonase	254	JHD63_RS04825
NZ_JAELTO010000013.1	54764	55219		plus	type II 3-dehydroquinate dehydratase	aroQ		protein-coding			WP_198969605.1	type II 3-dehydroquinate dehydratase	151	JHD63_RS04830
NZ_JAELTO010000013.1	55923	56462		plus	VOC family protein			protein-coding			WP_198969606.1	VOC family protein	179	JHD63_RS04835
NZ_JAELTO010000013.1	56504	57617		plus	FAD-dependent monooxygenase			protein-coding			WP_198969607.1	FAD-dependent monooxygenase	371	JHD63_RS04840
NZ_JAELTO010000014.1	1	524		plus	aminotransferase class IV			protein-coding			WP_198969613.1	aminotransferase class IV	173	JHD63_RS04845
NZ_JAELTO010000014.1	559	1974		plus	AAA family ATPase			protein-coding			WP_198969614.1	AAA family ATPase	471	JHD63_RS04850
NZ_JAELTO010000014.1	1978	2655		plus	DUF4276 family protein			protein-coding			WP_198969615.1	DUF4276 family protein	225	JHD63_RS04855
NZ_JAELTO010000014.1	2724	3110		minus	aspartate 1-decarboxylase			protein-coding			WP_198969616.1	aspartate 1-decarboxylase	128	JHD63_RS04860
NZ_JAELTO010000014.1	3141	3512		minus	5-carboxymethyl-2-hydroxymuconate Delta-isomerase			protein-coding			WP_198969617.1	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	123	JHD63_RS04865
NZ_JAELTO010000014.1	3546	3908		minus	6-carboxytetrahydropterin synthase			protein-coding			WP_198969618.1	6-carboxytetrahydropterin synthase	120	JHD63_RS04870
NZ_JAELTO010000014.1	4142	5104		plus	CsgG/HfaB family protein			protein-coding			WP_198969619.1	CsgG/HfaB family protein	320	JHD63_RS04875
NZ_JAELTO010000014.1	5110	5421		plus	hypothetical protein			protein-coding			WP_198969620.1	hypothetical protein	103	JHD63_RS04880
NZ_JAELTO010000014.1	5421	5786		plus	DUF4810 domain-containing protein			protein-coding			WP_198969621.1	DUF4810 domain-containing protein	121	JHD63_RS04885
NZ_JAELTO010000014.1	5834	6460		plus	DUF799 family lipoprotein			protein-coding			WP_233167645.1	DUF799 family lipoprotein	208	JHD63_RS04890
NZ_JAELTO010000014.1	6457	7095		minus	7-carboxy-7-deazaguanine synthase	queE		protein-coding			WP_198969622.1	7-carboxy-7-deazaguanine synthase	212	JHD63_RS04895
NZ_JAELTO010000014.1	7101	8666		minus	L-aspartate oxidase	nadB		protein-coding			WP_198969623.1	L-aspartate oxidase	521	JHD63_RS04900
NZ_JAELTO010000014.1	8704	9558		minus	ScpA family protein			protein-coding			WP_198969624.1	ScpA family protein	284	JHD63_RS04905
NZ_JAELTO010000014.1	9631	9837		minus	DUF3460 family protein			protein-coding			WP_198969625.1	DUF3460 family protein	68	JHD63_RS04910
NZ_JAELTO010000014.1	9883	10401		plus	outer membrane protein assembly factor BamE			protein-coding			WP_198969626.1	outer membrane protein assembly factor BamE	172	JHD63_RS04915
NZ_JAELTO010000014.1	10505	10753		plus	GlsB/YeaQ/YmgE family stress response membrane protein			protein-coding			WP_198969627.1	GlsB/YeaQ/YmgE family stress response membrane protein	82	JHD63_RS04920
NZ_JAELTO010000014.1	10786	11934		minus	CoA transferase			protein-coding			WP_198969628.1	CoA transferase	382	JHD63_RS04925
NZ_JAELTO010000014.1	11943	12914		minus	tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198969629.1	tripartite tricarboxylate transporter substrate binding protein	323	JHD63_RS04930
NZ_JAELTO010000014.1	12970	13722		minus	enoyl-CoA hydratase/isomerase family protein			protein-coding			WP_198969630.1	enoyl-CoA hydratase/isomerase family protein	250	JHD63_RS04935
NZ_JAELTO010000014.1	13781	14452		plus	GntR family transcriptional regulator			protein-coding			WP_198969631.1	GntR family transcriptional regulator	223	JHD63_RS04940
NZ_JAELTO010000014.1	14604	16682		minus	methionine--tRNA ligase	metG		protein-coding			WP_198969632.1	methionine--tRNA ligase	692	JHD63_RS04945
NZ_JAELTO010000014.1	16820	17911		plus	iron-sulfur cluster carrier protein ApbC	apbC		protein-coding			WP_233167640.1	iron-sulfur cluster carrier protein ApbC	363	JHD63_RS04950
NZ_JAELTO010000014.1	17934	18881		plus	LysR family transcriptional regulator			protein-coding			WP_198969634.1	LysR family transcriptional regulator	315	JHD63_RS04955
NZ_JAELTO010000014.1	19089	19568		plus	formate dehydrogenase subunit gamma			protein-coding			WP_198969635.1	formate dehydrogenase subunit gamma	159	JHD63_RS04960
NZ_JAELTO010000014.1	19607	21124		plus	formate dehydrogenase beta subunit			protein-coding			WP_233167647.1	formate dehydrogenase beta subunit	505	JHD63_RS04965
NZ_JAELTO010000014.1	21136	24015		plus	formate dehydrogenase subunit alpha	fdhF		protein-coding			WP_198969637.1	formate dehydrogenase subunit alpha	959	JHD63_RS04970
NZ_JAELTO010000014.1	24022	24246		plus	formate dehydrogenase subunit delta			protein-coding			WP_198969638.1	formate dehydrogenase subunit delta	74	JHD63_RS04975
NZ_JAELTO010000014.1	24281	25153		plus	formate dehydrogenase accessory sulfurtransferase FdhD	fdhD		protein-coding			WP_198969639.1	formate dehydrogenase accessory sulfurtransferase FdhD	290	JHD63_RS04980
NZ_JAELTO010000014.1	25414	26061		plus	TetR/AcrR family transcriptional regulator			protein-coding			WP_198969640.1	TetR/AcrR family transcriptional regulator	215	JHD63_RS04985
NZ_JAELTO010000014.1	26192	27247		plus	NAD-dependent epimerase/dehydratase family protein			protein-coding			WP_198969641.1	NAD-dependent epimerase/dehydratase family protein	351	JHD63_RS04990
NZ_JAELTO010000014.1	27456	28520		plus	dihydrodipicolinate synthase family protein			protein-coding			WP_198969642.1	dihydrodipicolinate synthase family protein	354	JHD63_RS04995
NZ_JAELTO010000014.1	28534	29310		plus	ABC transporter permease			protein-coding			WP_198969643.1	ABC transporter permease	258	JHD63_RS05000
NZ_JAELTO010000014.1	29367	30386		plus	ABC transporter substrate-binding protein			protein-coding			WP_198969644.1	ABC transporter substrate-binding protein	339	JHD63_RS05005
NZ_JAELTO010000014.1	30429	31277		plus	ABC transporter ATP-binding protein			protein-coding			WP_233167642.1	ABC transporter ATP-binding protein	282	JHD63_RS05010
NZ_JAELTO010000014.1	31342	32799		plus	mandelate racemase			protein-coding			WP_198969645.1	mandelate racemase	485	JHD63_RS05015
NZ_JAELTO010000014.1	32843	33592		minus	class I SAM-dependent methyltransferase			protein-coding			WP_198969646.1	class I SAM-dependent methyltransferase	249	JHD63_RS05020
NZ_JAELTO010000014.1	33579	34172		minus	TetR/AcrR family transcriptional regulator			protein-coding			WP_233167649.1	TetR/AcrR family transcriptional regulator	197	JHD63_RS05025
NZ_JAELTO010000014.1	34313	34471		plus	amidase family protein			protein-coding			WP_198969670.1	amidase family protein	52	JHD63_RS05030
NZ_JAELTO010000014.1	34535	36697		plus	TonB-dependent siderophore receptor			protein-coding			WP_198969647.1	TonB-dependent siderophore receptor	720	JHD63_RS05035
NZ_JAELTO010000014.1	36733	37005		plus	hypothetical protein			protein-coding			WP_198969648.1	hypothetical protein	90	JHD63_RS05040
NZ_JAELTO010000014.1	36986	37315		plus	hypothetical protein			protein-coding			WP_198969649.1	hypothetical protein	109	JHD63_RS05045
NZ_JAELTO010000014.1	37312	38919		plus	PepSY-associated TM helix domain-containing protein			protein-coding			WP_198969650.1	PepSY-associated TM helix domain-containing protein	535	JHD63_RS05050
NZ_JAELTO010000014.1	39486	42005		plus	ABC transporter permease			protein-coding			WP_198969651.1	ABC transporter permease	839	JHD63_RS05055
NZ_JAELTO010000014.1	42010	42885		minus	uncharacterized gene			pseudogene						JHD63_RS05060
NZ_JAELTO010000014.1	42968	44014		minus	porin			protein-coding			WP_198969653.1	porin	348	JHD63_RS05065
